case,dice,mean_conf_pred,max_prob,pred_vol_ml,arch,cohort
BLITS_015,0.0,0.0,0.0258587766438722,0.0,umamba,lits
BLITS_016,0.5871,0.9009657502174376,0.999853491783142,104731.0,umamba,lits
BLITS_017,0.0001,0.5105345845222473,0.525810182094574,45.0,umamba,lits
BLITS_018,0.5024,0.871451735496521,0.9989797472953796,2191972.0,umamba,lits
BLITS_019,0.8468,0.9552645087242126,0.9999966621398926,508509.0,umamba,lits
BLITS_020,0.0,0.6810683012008667,0.9066944122314452,16367.0,umamba,lits
BLITS_021,0.0,0.9011207818984984,0.9998898506164552,710948.0,umamba,lits
BLITS_022,0.0,0.5082318186759949,0.5193080306053162,10.0,umamba,lits
BLITS_023,0.7356,0.9364669919013976,0.999897837638855,89474.0,umamba,lits
BLITS_024,0.6824,0.9353984594345092,0.9999896287918092,408694.0,umamba,lits
BLITS_025,0.7876,0.9326871037483216,0.9999979734420776,67090.0,umamba,lits
BLITS_026,0.0,0.0,0.0109657403081655,0.0,umamba,lits
BLITS_027,0.0,0.0,0.0068107307888567,0.0,umamba,lits
BLITS_028,0.0,0.7773786783218384,0.9706043004989624,18005.0,umamba,lits
BLITS_029,0.7134,0.9345378875732422,0.9999823570251464,405915.0,umamba,lits
BLITS_030,0.7411,0.9209398627281188,0.999995231628418,2621333.0,umamba,lits
BLITS_031,0.0,0.5225688219070435,0.5712733864784241,15.0,umamba,lits
BLITS_032,0.8606,0.9361311793327332,0.9998517036437988,1387696.0,umamba,lits
BLITS_033,0.6448,0.6776148080825806,0.8876923322677612,1377.0,umamba,lits
BLITS_034,0.0,0.5395304560661316,0.6420117616653442,2586.0,umamba,lits
BLITS_035,0.7418,0.9555500745773317,0.9999998807907104,570330.0,umamba,lits
BLITS_036,0.5611,0.9426113367080688,0.9999998807907104,75479.0,umamba,lits
BLITS_037,0.6303,0.9275210499763488,0.9999998807907104,12682.0,umamba,lits
BLITS_038,0.2369,0.9244529008865356,0.9998756647109984,91509.0,umamba,lits
BLITS_039,0.0,0.0,0.2163010984659195,0.0,umamba,lits
BLITS_040,0.0,0.0,0.0070254076272249,0.0,umamba,lits
BLITS_041,0.0658,0.9098679423332214,0.9979047775268556,501206.0,umamba,lits
BLITS_042,0.3321,0.9332615733146667,0.9995643496513368,47324.0,umamba,lits
BLITS_043,0.3715,0.8809300661087036,0.997880220413208,118733.0,umamba,lits
BLITS_044,0.0,0.0,0.1101835891604423,0.0,umamba,lits
BLITS_045,0.0,0.0,0.0024582128971815,0.0,umamba,lits
BLITS_046,0.6788,0.8716993927955627,0.9988861680030824,55051.0,umamba,lits
BLITS_047,0.6607,0.907021164894104,0.9998642206192015,347772.0,umamba,lits
BLITS_048,0.744,0.9156633615493774,0.999276340007782,132260.0,umamba,lits
BLITS_049,0.0,0.0,0.0773084163665771,0.0,umamba,lits
BLITS_050,0.0,0.6292244791984558,0.8545815348625183,8735.0,umamba,lits
BLITS_051,0.0,0.7994115948677063,0.9816303849220276,2057.0,umamba,lits
BLITS_052,0.0,0.0,0.4555619060993194,0.0,umamba,lits
BLITS_053,0.5419,0.9289238452911376,0.9998968839645386,166714.0,umamba,lits
BLITS_054,0.0,0.8038102984428406,0.9884138703346252,49175.0,umamba,lits
BLITS_055,0.0568,0.6104423403739929,0.7912570834159851,1154.0,umamba,lits
BLITS_056,0.0045,0.561338484287262,0.6402704119682312,81.0,umamba,lits
BLITS_057,0.007,0.7337315082550049,0.996292769908905,38893.0,umamba,lits
BLITS_058,0.7781,0.9459846019744872,0.9999874830245972,2097208.0,umamba,lits
BLITS_059,0.5411,0.8923372626304626,0.9999043941497804,47788.0,umamba,lits
BLITS_060,0.0,0.0,0.0066798790358006,0.0,umamba,lits
BLITS_061,0.0,0.6085031032562256,0.7773420810699463,607.0,umamba,lits
BLITS_062,0.462,0.8182460069656372,0.9991238713264464,64883.0,umamba,lits
BLITS_063,0.1811,0.6782006025314331,0.8806945085525513,15416.0,umamba,lits
BLITS_064,0.0525,0.7721680998802185,0.995290756225586,3914.0,umamba,lits
BLITS_065,0.8749,0.9702680110931396,0.9999998807907104,36870.0,umamba,lits
BLITS_066,0.1196,0.8005265593528748,0.9999929666519164,82080.0,umamba,lits
BLITS_067,0.0,0.8141608834266663,0.9820137619972228,2615.0,umamba,lits
BLITS_068,0.1295,0.8684830069541931,0.9971550703048706,22276.0,umamba,lits
BLITS_069,0.8342,0.95369690656662,0.9999998807907104,145620.0,umamba,lits
BLITS_070,0.7995,0.964849293231964,0.999997615814209,13813.0,umamba,lits
BLITS_071,0.3709,0.9028885960578918,0.9988686442375184,516.0,umamba,lits
BLITS_072,0.0,0.0,0.1478625386953354,0.0,umamba,lits
BLITS_073,0.0,0.8459414839744568,0.9912378191947936,135492.0,umamba,lits
BLITS_074,0.7277,0.8554053902626038,0.9974689483642578,199798.0,umamba,lits
BLITS_075,0.141,0.6698673963546753,0.8854829668998718,501.0,umamba,lits
BLITS_076,0.0,0.7191682457923889,0.8998278379440308,70724.0,umamba,lits
BLITS_077,0.0,0.0,0.1228385344147682,0.0,umamba,lits
BLITS_078,0.7006,0.9347423911094666,0.9999805688858032,47675.0,umamba,lits
BLITS_079,0.5572,0.9521346688270568,0.9999991655349731,29323.0,umamba,lits
BLITS_080,0.7208,0.9289920926094056,0.9999704360961914,3444.0,umamba,lits
BLITS_081,0.0,0.0,0.2139514237642288,0.0,umamba,lits
BLITS_082,0.13,0.7618553638458252,0.9603983759880066,158.0,umamba,lits
BLITS_083,0.9031,0.966764271259308,0.999982476234436,213387.0,umamba,lits
BLITS_084,0.0,0.0,0.0081562492996454,0.0,umamba,lits
BLITS_085,0.317,0.8428831696510315,0.9999535083770752,803.0,umamba,lits
BLITS_086,0.0,0.7399759292602539,0.9269675612449646,20306.0,umamba,lits
BLITS_087,0.1573,0.7745240926742554,0.9998169541358948,51077.0,umamba,lits
BLITS_088,0.6032,0.8767092227935791,0.9992114305496216,6198.0,umamba,lits
BLITS_089,0.7589,0.9514682292938232,0.999976396560669,41030.0,umamba,lits
BLITS_090,0.6171,0.8900718688964844,0.9991735816001892,56540.0,umamba,lits
BLITS_091,0.7892,0.9281718134880066,0.9996243715286256,105245.0,umamba,lits
BLITS_092,0.7995,0.917326033115387,0.9999934434890748,26480.0,umamba,lits
BLITS_093,0.0,0.0,0.0435688123106956,0.0,umamba,lits
BLITS_094,0.1985,0.8005262613296509,0.996475636959076,107737.0,umamba,lits
BLITS_095,0.7144,0.9198097586631776,0.9992175102233888,1838.0,umamba,lits
BLITS_096,0.7884,0.911484956741333,0.9999929666519164,276667.0,umamba,lits
BLITS_097,0.7203,0.9442963600158693,0.9999998807907104,5159.0,umamba,lits
BLITS_098,0.3941,0.8825408220291138,0.9999414682388306,4189.0,umamba,lits
BLITS_099,0.5218,0.8796859383583069,0.9998717308044434,3787.0,umamba,lits
BLITS_100,0.5419,0.9088833928108216,0.9999912977218628,42854.0,umamba,lits
BLITS_101,0.9139,0.9702906012535096,0.9999997615814208,83638.0,umamba,lits
BLITS_102,0.3081,0.9049807786941528,0.999984860420227,27085.0,umamba,lits
BLITS_103,0.7854,0.9564234018325806,0.9999924898147584,216055.0,umamba,lits
BLITS_104,0.0,0.0,0.0236218068748712,0.0,umamba,lits
BLITS_105,0.7089,0.879295825958252,0.9999297857284546,806855.0,umamba,lits
BLITS_106,0.0,0.6352550387382507,0.854884684085846,433.0,umamba,lits
BLITS_107,0.0,0.0,0.0182817969471216,0.0,umamba,lits
BLITS_108,0.7703,0.8762724995613098,0.9949690699577332,216670.0,umamba,lits
BLITS_109,0.4451,0.9286689162254332,0.999974012374878,61043.0,umamba,lits
BLITS_110,0.0181,0.8862346410751343,0.997231662273407,34101.0,umamba,lits
BLITS_111,0.0,0.8601361513137817,0.9914474487304688,74248.0,umamba,lits
BLITS_112,0.1573,0.7377824783325195,0.998245358467102,390916.0,umamba,lits
BLITS_113,0.5368,0.8985993266105652,0.9998915195465088,62136.0,umamba,lits
BLITS_114,0.0,0.6928966045379639,0.9116528034210204,5417.0,umamba,lits
BLITS_115,0.485,0.939768135547638,0.9999804496765136,29910.0,umamba,lits
BLITS_116,0.7494,0.9166666269302368,0.99994695186615,1112941.0,umamba,lits
BLITS_117,0.7968,0.9414419531822203,0.9999992847442628,826415.0,umamba,lits
BLITS_118,0.0,0.0,0.0460768043994903,0.0,umamba,lits
BLITS_001,0.0085,0.7729317545890808,0.9992052912712096,6096.0,swin,lits
